nohup: ignoring input
/home/23ucs622/miniconda3/envs/bit_env/lib/python3.9/site-packages/torch/nn/modules/transformer.py:385: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  warnings.warn(
Device: cuda
Train samples: 7120, Val samples: 1024
✅ Loaded pretrained ResNet34 backbone
🚀 Starting training...
Ep 001 | TrLoss 0.6658 | ValLoss 0.4356 | IoU 0.4639 | F1 0.6338 | Preds: [0 1]
✅ Saved best model
Ep 002 | TrLoss 0.4340 | ValLoss 0.3684 | IoU 0.5237 | F1 0.6874 | Preds: [0 1]
✅ Saved best model
Ep 003 | TrLoss 0.4119 | ValLoss 0.4067 | IoU 0.4808 | F1 0.6494 | Preds: [0 1]
Ep 004 | TrLoss 0.3985 | ValLoss 0.4695 | IoU 0.4409 | F1 0.6120 | Preds: [0 1]
Ep 005 | TrLoss 0.3709 | ValLoss 0.3887 | IoU 0.5341 | F1 0.6963 | Preds: [0 1]
Ep 006 | TrLoss 0.4013 | ValLoss 0.3596 | IoU 0.5647 | F1 0.7218 | Preds: [0 1]
✅ Saved best model
Ep 007 | TrLoss 0.3680 | ValLoss 0.3768 | IoU 0.5127 | F1 0.6779 | Preds: [0 1]
Ep 008 | TrLoss 0.3515 | ValLoss 0.4086 | IoU 0.5511 | F1 0.7106 | Preds: [0 1]
Ep 009 | TrLoss 0.3630 | ValLoss 0.3890 | IoU 0.5055 | F1 0.6716 | Preds: [0 1]
Ep 010 | TrLoss 0.3894 | ValLoss 0.3699 | IoU 0.5459 | F1 0.7063 | Preds: [0 1]
Ep 011 | TrLoss 0.3804 | ValLoss 0.3682 | IoU 0.5696 | F1 0.7258 | Preds: [0 1]
Ep 012 | TrLoss 0.3573 | ValLoss 0.3587 | IoU 0.5811 | F1 0.7351 | Preds: [0 1]
✅ Saved best model
Ep 013 | TrLoss 0.3736 | ValLoss 0.3206 | IoU 0.5786 | F1 0.7330 | Preds: [0 1]
✅ Saved best model
Ep 014 | TrLoss 0.3684 | ValLoss 0.3445 | IoU 0.5531 | F1 0.7123 | Preds: [0 1]
Ep 015 | TrLoss 0.3378 | ValLoss 0.3132 | IoU 0.5831 | F1 0.7367 | Preds: [0 1]
✅ Saved best model
Ep 016 | TrLoss 0.3509 | ValLoss 0.3970 | IoU 0.5665 | F1 0.7233 | Preds: [0 1]
Ep 017 | TrLoss 0.3732 | ValLoss 0.3079 | IoU 0.5936 | F1 0.7450 | Preds: [0 1]
✅ Saved best model
Ep 018 | TrLoss 0.3447 | ValLoss 0.3365 | IoU 0.6062 | F1 0.7548 | Preds: [0 1]
Ep 019 | TrLoss 0.3251 | ValLoss 0.3088 | IoU 0.5758 | F1 0.7308 | Preds: [0 1]
Ep 020 | TrLoss 0.3177 | ValLoss 0.3387 | IoU 0.5778 | F1 0.7324 | Preds: [0 1]
Ep 021 | TrLoss 0.3447 | ValLoss 0.3485 | IoU 0.5573 | F1 0.7157 | Preds: [0 1]
Ep 022 | TrLoss 0.3508 | ValLoss 0.3663 | IoU 0.4915 | F1 0.6591 | Preds: [0 1]
